Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Madurai,75,8,2,0,
27-04-2020,Tamil Nadu,Madurai,79,8,2,0,
28-04-2020,Tamil Nadu,Madurai,79,36,2,0,
29-04-2020,Tamil Nadu,Madurai,79,40,2,0,
30-04-2020,Tamil Nadu,Madurai,84,40,2,0,
01-05-2020,Tamil Nadu,Madurai,87,42,2,0,
02-05-2020,Tamil Nadu,Madurai,88,42,2,0,
03-05-2020,Tamil Nadu,Madurai,90,43,2,0,
04-05-2020,Tamil Nadu,Madurai,91,43,2,0,
05-05-2020,Tamil Nadu,Madurai,92,43,2,0,
06-05-2020,Tamil Nadu,Madurai,112,48,2,0,
07-05-2020,Tamil Nadu,Madurai,112,54,2,0,
08-05-2020,Tamil Nadu,Madurai,114,54,2,0,
09-05-2020,Tamil Nadu,Madurai,114,70,2,0,
10-05-2020,Tamil Nadu,Madurai,118,73,2,0,
11-05-2020,Tamil Nadu,Madurai,122,73,2,0,
12-05-2020,Tamil Nadu,Madurai,122,73,2,0,
13-05-2020,Tamil Nadu,Madurai,124,83,2,0,
14-05-2020,Tamil Nadu,Madurai,132,83,2,0,
15-05-2020,Tamil Nadu,Madurai,143,87,2,0,
16-05-2020,Tamil Nadu,Madurai,147,89,2,0,
17-05-2020,Tamil Nadu,Madurai,160,107,2,0,
18-05-2020,Tamil Nadu,Madurai,163,108,2,0,
19-05-2020,Tamil Nadu,Madurai,163,108,2,0,
20-05-2020,Tamil Nadu,Madurai,172,108,2,0,
21-05-2020,Tamil Nadu,Madurai,191,109,2,0,
22-05-2020,Tamil Nadu,Madurai,224,111,2,0,
23-05-2020,Tamil Nadu,Madurai,226,113,2,0,
24-05-2020,Tamil Nadu,Madurai,232,115,2,0,
25-05-2020,Tamil Nadu,Madurai,232,118,2,0,
26-05-2020,Tamil Nadu,Madurai,234,122,2,0,
27-05-2020,Tamil Nadu,Madurai,241,140,2,0,
28-05-2020,Tamil Nadu,Madurai,249,153,2,0,
29-05-2020,Tamil Nadu,Madurai,249,153,2,0,
30-05-2020,Tamil Nadu,Madurai,268,158,2,0,
31-05-2020,Tamil Nadu,Madurai,278,164,3,0,
01-06-2020,Tamil Nadu,Madurai,278,165,3,0,
02-06-2020,Tamil Nadu,Madurai,279,174,3,0,
03-06-2020,Tamil Nadu,Madurai,286,177,3,0,
04-06-2020,Tamil Nadu,Madurai,283,193,3,0,
05-06-2020,Tamil Nadu,Madurai,292,196,3,0,
06-06-2020,Tamil Nadu,Madurai,298,229,3,0,
07-06-2020,Tamil Nadu,Madurai,312,235,3,0,14102
08-06-2020,Tamil Nadu,Madurai,317,240,3,0,14102
09-06-2020,Tamil Nadu,Madurai,333,241,3,0,14102
10-06-2020,Tamil Nadu,Madurai,343,241,3,0,14102
11-06-2020,Tamil Nadu,Madurai,363,254,3,0,14102
12-06-2020,Tamil Nadu,Madurai,394,265,3,0,14102
13-06-2020,Tamil Nadu,Madurai,409,271,3,0,14102
14-06-2020,Tamil Nadu,Madurai,426,277,4,0,14102
15-06-2020,Tamil Nadu,Madurai,442,291,4,0,14102
16-06-2020,Tamil Nadu,Madurai,464,301,5,0,14102
17-06-2020,Tamil Nadu,Madurai,493,323,6,0,14102
18-06-2020,Tamil Nadu,Madurai,495,330,6,0,14102
19-06-2020,Tamil Nadu,Madurai,550,345,7,0,21461
20-06-2020,Tamil Nadu,Madurai,636,367,8,0,23092
21-06-2020,Tamil Nadu,Madurai,705,381,8,0,23092
22-06-2020,Tamil Nadu,Madurai,849,389,8,0,23092
23-06-2020,Tamil Nadu,Madurai,988,405,9,0,23092
24-06-2020,Tamil Nadu,Madurai,1073,423,9,0,23092
25-06-2020,Tamil Nadu,Madurai,1279,448,11,0,23092
26-06-2020,Tamil Nadu,Madurai,1477,520,13,0,23092
27-06-2020,Tamil Nadu,Madurai,1703,548,20,0,23092
28-06-2020,Tamil Nadu,Madurai,1995,591,25,0,23092
29-06-2020,Tamil Nadu,Madurai,2302,609,29,0,23092
30-06-2020,Tamil Nadu,Madurai,2557,817,32,0,23092
01-07-2020,Tamil Nadu,Madurai,2858,878,39,0,23092
02-07-2020,Tamil Nadu,Madurai,3133,887,43,0,23092
03-07-2020,Tamil Nadu,Madurai,3423,967,51,0,23092
04-07-2020,Tamil Nadu,Madurai,3776,994,57,0,23092
05-07-2020,Tamil Nadu,Madurai,4085,1048,62,0,23092
06-07-2020,Tamil Nadu,Madurai,4338,1070,69,0,23092
07-07-2020,Tamil Nadu,Madurai,4674,1111,77,0,23092
08-07-2020,Tamil Nadu,Madurai,5057,1160,86,0,23092
09-07-2020,Tamil Nadu,Madurai,5299,1203,95,0,23092
10-07-2020,Tamil Nadu,Madurai,5482,1250,101,0,23092
11-07-2020,Tamil Nadu,Madurai,5757,1803,111,0,23092
12-07-2020,Tamil Nadu,Madurai,6078,2590,116,0,23092
13-07-2020,Tamil Nadu,Madurai,6539,2616,120,0,23092
14-07-2020,Tamil Nadu,Madurai,6990,2667,124,0,23092
15-07-2020,Tamil Nadu,Madurai,7331,3855,129,0,23092
16-07-2020,Tamil Nadu,Madurai,7597,4534,134,0,23092
17-07-2020,Tamil Nadu,Madurai,7858,4677,138,0,23092
18-07-2020,Tamil Nadu,Madurai,8044,4758,147,0,23092
19-07-2020,Tamil Nadu,Madurai,8251,4823,155,0,23092
20-07-2020,Tamil Nadu,Madurai,8357,4934,160,0,23092
21-07-2020,Tamil Nadu,Madurai,8517,5070,167,0,23092
22-07-2020,Tamil Nadu,Madurai,8705,5515,174,0,23092
23-07-2020,Tamil Nadu,Madurai,8984,5965,183,0,97279
24-07-2020,Tamil Nadu,Madurai,9302,6448,193,0,97279
25-07-2020,Tamil Nadu,Madurai,9595,7394,202,0,97279
26-07-2020,Tamil Nadu,Madurai,9805,7643,210,0,97279
27-07-2020,Tamil Nadu,Madurai,10057,7809,216,0,97279
28-07-2020,Tamil Nadu,Madurai,10392,7882,222,0,97279
29-07-2020,Tamil Nadu,Madurai,10618,7995,231,0,97279
30-07-2020,Tamil Nadu,Madurai,10838,8221,233,0,97279
31-07-2020,Tamil Nadu,Madurai,11009,8423,237,0,97279
01-08-2020,Tamil Nadu,Madurai,11175,8631,247,0,97279
02-08-2020,Tamil Nadu,Madurai,11352,8745,253,0,97279
03-08-2020,Tamil Nadu,Madurai,11455,8787,257,0,97279
04-08-2020,Tamil Nadu,Madurai,11487,8984,261,0,97279
05-08-2020,Tamil Nadu,Madurai,11593,9219,267,0,97279
06-08-2020,Tamil Nadu,Madurai,11689,9549,276,0,97279
07-08-2020,Tamil Nadu,Madurai,11797,9733,278,0,97279
08-08-2020,Tamil Nadu,Madurai,11898,9989,282,0,97279
09-08-2020,Tamil Nadu,Madurai,12005,10452,288,0,97279
10-08-2020,Tamil Nadu,Madurai,12104,10750,293,0,97279
11-08-2020,Tamil Nadu,Madurai,12195,11028,297,0,97279
12-08-2020,Tamil Nadu,Madurai,12366,11054,303,0,97279
13-08-2020,Tamil Nadu,Madurai,12515,11151,308,0,97279
14-08-2020,Tamil Nadu,Madurai,12561,11195,309,0,97279
15-08-2020,Tamil Nadu,Madurai,12643,11300,315,0,97279
16-08-2020,Tamil Nadu,Madurai,12764,11404,321,0,97279
17-08-2020,Tamil Nadu,Madurai,12888,11424,324,0,97279
18-08-2020,Tamil Nadu,Madurai,12955,11571,327,0,97279
19-08-2020,Tamil Nadu,Madurai,13067,11660,329,0,97279
20-08-2020,Tamil Nadu,Madurai,13149,11765,330,0,97279
21-08-2020,Tamil Nadu,Madurai,13237,11903,331,0,97279
22-08-2020,Tamil Nadu,Madurai,13328,12075,332,0,97279
23-08-2020,Tamil Nadu,Madurai,13433,12123,335,0,97279
24-08-2020,Tamil Nadu,Madurai,13508,12191,338,0,97279
25-08-2020,Tamil Nadu,Madurai,13590,12249,340,0,97279
26-08-2020,Tamil Nadu,Madurai,13621,12343,341,0,97279
27-08-2020,Tamil Nadu,Madurai,13685,12446,345,0,97279
28-08-2020,Tamil Nadu,Madurai,13788,12570,350,0,97279
29-08-2020,Tamil Nadu,Madurai,13894,12684,354,0,97279
30-08-2020,Tamil Nadu,Madurai,14030,12813,357,0,97279
31-08-2020,Tamil Nadu,Madurai,14152,12931,358,0,97279
01-09-2020,Tamil Nadu,Madurai,14279,13021,358,0,97279
02-09-2020,Tamil Nadu,Madurai,14386,13222,360,0,97279
03-09-2020,Tamil Nadu,Madurai,14455,13282,360,0,97279
04-09-2020,Tamil Nadu,Madurai,14575,13334,364,0,97279
05-09-2020,Tamil Nadu,Madurai,14674,13376,364,0,97279
06-09-2020,Tamil Nadu,Madurai,14775,13423,366,0,97279
07-09-2020,Tamil Nadu,Madurai,14881,13468,367,0,97279
08-09-2020,Tamil Nadu,Madurai,14988,13555,368,0,97279
09-09-2020,Tamil Nadu,Madurai,15051,13622,369,0,97279
10-09-2020,Tamil Nadu,Madurai,15118,13757,369,0,97279
11-09-2020,Tamil Nadu,Madurai,15169,13850,371,0,97279
12-09-2020,Tamil Nadu,Madurai,15238,13959,371,0,97279
13-09-2020,Tamil Nadu,Madurai,15310,14043,375,0,97279
14-09-2020,Tamil Nadu,Madurai,15394,14330,372,0,97279
15-09-2020,Tamil Nadu,Madurai,15477,14371,374,0,97279
16-09-2020,Tamil Nadu,Madurai,15578,14405,374,0,97279
17-09-2020,Tamil Nadu,Madurai,15647,14452,377,0,97279
18-09-2020,Tamil Nadu,Madurai,15724,14617,377,0,97279
19-09-2020,Tamil Nadu,Madurai,15792,14655,377,0,97279
