Date,State,country,cases,Recovered,Deceased,Other,Tested
26-04-2020,Tamil Nadu,Thiruvarur,30,8,0,0,
27-04-2020,Tamil Nadu,Thiruvarur,30,14,0,0,
28-04-2020,Tamil Nadu,Thiruvarur,30,14,0,0,
29-04-2020,Tamil Nadu,Thiruvarur,30,15,0,0,
30-04-2020,Tamil Nadu,Thiruvarur,30,16,0,0,
01-05-2020,Tamil Nadu,Thiruvarur,30,18,0,0,
02-05-2020,Tamil Nadu,Thiruvarur,30,18,0,0,
03-05-2020,Tamil Nadu,Thiruvarur,30,19,0,0,
04-05-2020,Tamil Nadu,Thiruvarur,32,19,0,0,
05-05-2020,Tamil Nadu,Thiruvarur,32,20,0,0,
06-05-2020,Tamil Nadu,Thiruvarur,33,22,0,0,
07-05-2020,Tamil Nadu,Thiruvarur,33,23,0,0,
08-05-2020,Tamil Nadu,Thiruvarur,33,23,0,0,
09-05-2020,Tamil Nadu,Thiruvarur,33,24,0,0,
10-05-2020,Tamil Nadu,Thiruvarur,33,25,0,0,
11-05-2020,Tamil Nadu,Thiruvarur,33,25,0,0,
12-05-2020,Tamil Nadu,Thiruvarur,33,29,0,0,
13-05-2020,Tamil Nadu,Thiruvarur,33,29,0,0,
14-05-2020,Tamil Nadu,Thiruvarur,32,29,0,0,
15-05-2020,Tamil Nadu,Thiruvarur,32,29,0,0,
16-05-2020,Tamil Nadu,Thiruvarur,32,29,0,0,
17-05-2020,Tamil Nadu,Thiruvarur,32,29,0,0,
18-05-2020,Tamil Nadu,Thiruvarur,32,29,0,0,
19-05-2020,Tamil Nadu,Thiruvarur,32,30,0,0,
20-05-2020,Tamil Nadu,Thiruvarur,32,30,0,0,
21-05-2020,Tamil Nadu,Thiruvarur,32,32,0,0,
22-05-2020,Tamil Nadu,Thiruvarur,35,32,0,0,
23-05-2020,Tamil Nadu,Thiruvarur,35,32,0,0,
24-05-2020,Tamil Nadu,Thiruvarur,37,32,0,0,
25-05-2020,Tamil Nadu,Thiruvarur,38,32,0,0,
26-05-2020,Tamil Nadu,Thiruvarur,38,32,0,0,
27-05-2020,Tamil Nadu,Thiruvarur,42,33,0,0,
28-05-2020,Tamil Nadu,Thiruvarur,42,33,0,0,
29-05-2020,Tamil Nadu,Thiruvarur,42,33,0,0,
30-05-2020,Tamil Nadu,Thiruvarur,46,33,0,0,
31-05-2020,Tamil Nadu,Thiruvarur,47,33,0,0,
01-06-2020,Tamil Nadu,Thiruvarur,47,34,0,0,
02-06-2020,Tamil Nadu,Thiruvarur,49,36,0,0,
03-06-2020,Tamil Nadu,Thiruvarur,51,36,0,0,
04-06-2020,Tamil Nadu,Thiruvarur,51,36,0,0,
05-06-2020,Tamil Nadu,Thiruvarur,55,38,0,0,
06-06-2020,Tamil Nadu,Thiruvarur,58,42,0,0,
07-06-2020,Tamil Nadu,Thiruvarur,59,44,0,0,8448
08-06-2020,Tamil Nadu,Thiruvarur,62,45,0,0,8448
09-06-2020,Tamil Nadu,Thiruvarur,69,45,0,0,8448
10-06-2020,Tamil Nadu,Thiruvarur,83,45,0,0,8448
11-06-2020,Tamil Nadu,Thiruvarur,99,47,0,0,8448
12-06-2020,Tamil Nadu,Thiruvarur,105,49,0,0,8448
13-06-2020,Tamil Nadu,Thiruvarur,120,51,0,0,8448
14-06-2020,Tamil Nadu,Thiruvarur,128,52,0,0,8448
15-06-2020,Tamil Nadu,Thiruvarur,138,55,0,0,8448
16-06-2020,Tamil Nadu,Thiruvarur,148,58,0,0,8448
17-06-2020,Tamil Nadu,Thiruvarur,163,74,0,0,8448
18-06-2020,Tamil Nadu,Thiruvarur,174,74,0,0,8448
19-06-2020,Tamil Nadu,Thiruvarur,186,75,0,0,11190
20-06-2020,Tamil Nadu,Thiruvarur,188,80,0,0,11313
21-06-2020,Tamil Nadu,Thiruvarur,218,95,0,0,11313
22-06-2020,Tamil Nadu,Thiruvarur,231,105,0,0,11313
23-06-2020,Tamil Nadu,Thiruvarur,241,108,0,0,11313
24-06-2020,Tamil Nadu,Thiruvarur,272,112,0,0,11313
25-06-2020,Tamil Nadu,Thiruvarur,277,121,0,0,11313
26-06-2020,Tamil Nadu,Thiruvarur,295,131,0,0,11313
27-06-2020,Tamil Nadu,Thiruvarur,341,139,0,0,11313
28-06-2020,Tamil Nadu,Thiruvarur,428,142,0,0,11313
29-06-2020,Tamil Nadu,Thiruvarur,443,145,0,0,11313
30-06-2020,Tamil Nadu,Thiruvarur,455,163,0,0,11313
01-07-2020,Tamil Nadu,Thiruvarur,468,188,0,0,11313
02-07-2020,Tamil Nadu,Thiruvarur,496,224,0,0,11313
03-07-2020,Tamil Nadu,Thiruvarur,513,283,0,0,11313
04-07-2020,Tamil Nadu,Thiruvarur,524,329,0,0,11313
05-07-2020,Tamil Nadu,Thiruvarur,539,348,0,0,11313
06-07-2020,Tamil Nadu,Thiruvarur,553,355,0,0,11313
07-07-2020,Tamil Nadu,Thiruvarur,576,370,0,0,11313
08-07-2020,Tamil Nadu,Thiruvarur,614,386,0,0,11313
09-07-2020,Tamil Nadu,Thiruvarur,654,386,0,0,11313
10-07-2020,Tamil Nadu,Thiruvarur,681,394,0,0,11313
11-07-2020,Tamil Nadu,Thiruvarur,694,407,1,0,11313
12-07-2020,Tamil Nadu,Thiruvarur,708,415,1,0,11313
13-07-2020,Tamil Nadu,Thiruvarur,767,469,1,0,11313
14-07-2020,Tamil Nadu,Thiruvarur,786,478,1,0,11313
15-07-2020,Tamil Nadu,Thiruvarur,795,479,1,0,11313
16-07-2020,Tamil Nadu,Thiruvarur,815,525,1,0,11313
17-07-2020,Tamil Nadu,Thiruvarur,830,552,1,0,11313
18-07-2020,Tamil Nadu,Thiruvarur,859,554,1,0,11313
19-07-2020,Tamil Nadu,Thiruvarur,895,643,1,0,11313
20-07-2020,Tamil Nadu,Thiruvarur,941,647,1,0,11313
21-07-2020,Tamil Nadu,Thiruvarur,1014,657,1,0,11313
22-07-2020,Tamil Nadu,Thiruvarur,1059,685,1,0,11313
23-07-2020,Tamil Nadu,Thiruvarur,1061,705,1,0,67445
24-07-2020,Tamil Nadu,Thiruvarur,1156,711,1,0,67445
25-07-2020,Tamil Nadu,Thiruvarur,1256,751,1,0,67445
26-07-2020,Tamil Nadu,Thiruvarur,1349,778,1,0,67445
27-07-2020,Tamil Nadu,Thiruvarur,1416,838,1,0,67445
28-07-2020,Tamil Nadu,Thiruvarur,1548,926,5,0,67445
29-07-2020,Tamil Nadu,Thiruvarur,1661,952,6,0,67445
30-07-2020,Tamil Nadu,Thiruvarur,1665,1043,9,0,67445
31-07-2020,Tamil Nadu,Thiruvarur,1693,1122,9,0,67445
01-08-2020,Tamil Nadu,Thiruvarur,1738,1181,9,0,67445
02-08-2020,Tamil Nadu,Thiruvarur,1781,1305,9,0,67445
03-08-2020,Tamil Nadu,Thiruvarur,1799,1398,9,0,67445
04-08-2020,Tamil Nadu,Thiruvarur,1830,1498,9,0,67445
05-08-2020,Tamil Nadu,Thiruvarur,1851,1553,11,0,67445
06-08-2020,Tamil Nadu,Thiruvarur,1874,1681,12,0,67445
07-08-2020,Tamil Nadu,Thiruvarur,1919,1708,12,0,67445
08-08-2020,Tamil Nadu,Thiruvarur,1947,1714,12,0,67445
09-08-2020,Tamil Nadu,Thiruvarur,1998,1724,12,0,67445
10-08-2020,Tamil Nadu,Thiruvarur,2026,1732,13,0,67445
11-08-2020,Tamil Nadu,Thiruvarur,2113,1737,16,0,67445
12-08-2020,Tamil Nadu,Thiruvarur,2119,1755,17,0,67445
13-08-2020,Tamil Nadu,Thiruvarur,2146,1775,18,0,67445
14-08-2020,Tamil Nadu,Thiruvarur,2202,1815,18,0,67445
15-08-2020,Tamil Nadu,Thiruvarur,2254,1870,19,0,67445
16-08-2020,Tamil Nadu,Thiruvarur,2319,1901,20,0,67445
17-08-2020,Tamil Nadu,Thiruvarur,2390,1925,21,0,67445
18-08-2020,Tamil Nadu,Thiruvarur,2431,2018,26,0,67445
19-08-2020,Tamil Nadu,Thiruvarur,2551,2074,28,0,67445
20-08-2020,Tamil Nadu,Thiruvarur,2612,2101,30,0,67445
21-08-2020,Tamil Nadu,Thiruvarur,2680,2163,32,0,67445
22-08-2020,Tamil Nadu,Thiruvarur,2755,2196,32,0,67445
23-08-2020,Tamil Nadu,Thiruvarur,2784,2251,35,0,67445
24-08-2020,Tamil Nadu,Thiruvarur,2896,2291,35,0,67445
25-08-2020,Tamil Nadu,Thiruvarur,2955,2381,36,0,67445
26-08-2020,Tamil Nadu,Thiruvarur,3062,2418,39,0,67445
27-08-2020,Tamil Nadu,Thiruvarur,3156,2556,41,0,67445
28-08-2020,Tamil Nadu,Thiruvarur,3276,2623,41,0,67445
29-08-2020,Tamil Nadu,Thiruvarur,3386,2655,42,0,67445
30-08-2020,Tamil Nadu,Thiruvarur,3481,2820,42,0,67445
31-08-2020,Tamil Nadu,Thiruvarur,3586,2842,43,0,67445
01-09-2020,Tamil Nadu,Thiruvarur,3686,2942,45,0,67445
02-09-2020,Tamil Nadu,Thiruvarur,3819,2997,47,0,67445
03-09-2020,Tamil Nadu,Thiruvarur,3898,3096,50,0,67445
04-09-2020,Tamil Nadu,Thiruvarur,3996,3252,52,0,67445
05-09-2020,Tamil Nadu,Thiruvarur,4107,3439,54,0,67445
06-09-2020,Tamil Nadu,Thiruvarur,4219,3538,55,0,67445
07-09-2020,Tamil Nadu,Thiruvarur,4361,3619,59,0,67445
08-09-2020,Tamil Nadu,Thiruvarur,4560,3659,60,0,67445
09-09-2020,Tamil Nadu,Thiruvarur,4687,3772,62,0,67445
10-09-2020,Tamil Nadu,Thiruvarur,4816,3857,63,0,67445
11-09-2020,Tamil Nadu,Thiruvarur,4975,4086,64,0,67445
12-09-2020,Tamil Nadu,Thiruvarur,5123,4308,64,0,67445
13-09-2020,Tamil Nadu,Thiruvarur,5267,4502,65,0,67445
14-09-2020,Tamil Nadu,Thiruvarur,5409,4621,65,0,67445
15-09-2020,Tamil Nadu,Thiruvarur,5538,4702,65,0,67445
16-09-2020,Tamil Nadu,Thiruvarur,5678,4867,65,0,67445
17-09-2020,Tamil Nadu,Thiruvarur,5784,4987,65,0,67445
18-09-2020,Tamil Nadu,Thiruvarur,5883,5055,66,0,67445
19-09-2020,Tamil Nadu,Thiruvarur,5984,5122,66,0,67445
20-09-2020,Tamil Nadu,Thiruvarur,6071,5204,66,0,67445
21-09-2020,Tamil Nadu,Thiruvarur,6194,5301,66,0,67445
22-09-2020,Tamil Nadu,Thiruvarur,6310,5400,67,0,67445
23-09-2020,Tamil Nadu,Thiruvarur,6409,5468,67,0,67445
24-09-2020,Tamil Nadu,Thiruvarur,6552,5583,68,0,67445
25-09-2020,Tamil Nadu,Thiruvarur,6683,5652,69,0,67445
26-09-2020,Tamil Nadu,Thiruvarur,6824,5698,69,0,67445
27-09-2020,Tamil Nadu,Thiruvarur,6950,5812,70,0,67445
28-09-2020,Tamil Nadu,Thiruvarur,7076,5926,71,0,67445
29-09-2020,Tamil Nadu,Thiruvarur,7136,6053,72,0,67445
30-09-2020,Tamil Nadu,Thiruvarur,7192,6168,72,0,67445
01-10-2020,Tamil Nadu,Thiruvarur,7315,6278,73,0,67445
02-10-2020,Tamil Nadu,Thiruvarur,7457,6449,73,0,67445
03-10-2020,Tamil Nadu,Thiruvarur,7600,6563,74,0,67445
04-10-2020,Tamil Nadu,Thiruvarur,7746,6691,74,0,67445
05-10-2020,Tamil Nadu,Thiruvarur,7842,6834,74,0,67445
06-10-2020,Tamil Nadu,Thiruvarur,7943,6999,74,0,67445
07-10-2020,Tamil Nadu,Thiruvarur,8049,7170,75,0,67445
08-10-2020,Tamil Nadu,Thiruvarur,8099,7338,78,0,67445
09-10-2020,Tamil Nadu,Thiruvarur,8211,7508,78,0,67445
10-10-2020,Tamil Nadu,Thiruvarur,8300,7613,79,0,67445
11-10-2020,Tamil Nadu,Thiruvarur,8396,7766,82,0,67445
12-10-2020,Tamil Nadu,Thiruvarur,8511,7854,82,0,67445
13-10-2020,Tamil Nadu,Thiruvarur,8621,7901,82,0,67445
14-10-2020,Tamil Nadu,Thiruvarur,8703,7953,84,0,67445
