Date,State,country,cases,Recovered,Deceased,Other,Tested
19-05-2020,Tamil Nadu,Tiruchirappalli,68,62,0,0,2684
20-05-2020,Tamil Nadu,Tiruchirappalli,68,66,0,0,2684
21-05-2020,Tamil Nadu,Tiruchirappalli,68,66,0,0,2684
22-05-2020,Tamil Nadu,Tiruchirappalli,72,66,0,0,2684
23-05-2020,Tamil Nadu,Tiruchirappalli,72,66,0,0,2684
24-05-2020,Tamil Nadu,Tiruchirappalli,75,66,0,0,2684
25-05-2020,Tamil Nadu,Tiruchirappalli,76,67,0,0,2684
26-05-2020,Tamil Nadu,Tiruchirappalli,76,67,0,0,2684
27-05-2020,Tamil Nadu,Tiruchirappalli,79,68,0,0,2684
28-05-2020,Tamil Nadu,Tiruchirappalli,79,69,0,0,2684
29-05-2020,Tamil Nadu,Tiruchirappalli,80,69,0,0,2684
30-05-2020,Tamil Nadu,Tiruchirappalli,87,70,0,0,2684
31-05-2020,Tamil Nadu,Tiruchirappalli,90,70,0,0,12090
01-06-2020,Tamil Nadu,Tiruchirappalli,90,70,0,0,12090
02-06-2020,Tamil Nadu,Tiruchirappalli,97,70,0,0,12090
03-06-2020,Tamil Nadu,Tiruchirappalli,97,76,0,0,12090
04-06-2020,Tamil Nadu,Tiruchirappalli,100,76,1,0,12090
05-06-2020,Tamil Nadu,Tiruchirappalli,112,76,1,0,12090
06-06-2020,Tamil Nadu,Tiruchirappalli,112,85,1,0,12090
07-06-2020,Tamil Nadu,Tiruchirappalli,116,87,1,0,14453
08-06-2020,Tamil Nadu,Tiruchirappalli,116,101,1,0,14453
09-06-2020,Tamil Nadu,Tiruchirappalli,120,101,1,0,14453
10-06-2020,Tamil Nadu,Tiruchirappalli,132,105,1,0,14453
11-06-2020,Tamil Nadu,Tiruchirappalli,142,104,1,0,14453
12-06-2020,Tamil Nadu,Tiruchirappalli,148,106,1,0,14453
13-06-2020,Tamil Nadu,Tiruchirappalli,154,112,1,0,14453
14-06-2020,Tamil Nadu,Tiruchirappalli,163,116,1,0,14453
15-06-2020,Tamil Nadu,Tiruchirappalli,171,116,1,0,14453
16-06-2020,Tamil Nadu,Tiruchirappalli,171,118,1,0,14453
17-06-2020,Tamil Nadu,Tiruchirappalli,179,126,1,0,14453
18-06-2020,Tamil Nadu,Tiruchirappalli,189,126,1,0,14453
19-06-2020,Tamil Nadu,Tiruchirappalli,207,142,1,0,18694
20-06-2020,Tamil Nadu,Tiruchirappalli,230,148,1,0,19347
21-06-2020,Tamil Nadu,Tiruchirappalli,266,163,1,0,19347
22-06-2020,Tamil Nadu,Tiruchirappalli,310,162,1,0,19347
23-06-2020,Tamil Nadu,Tiruchirappalli,352,179,3,0,19347
24-06-2020,Tamil Nadu,Tiruchirappalli,434,206,3,0,19347
25-06-2020,Tamil Nadu,Tiruchirappalli,461,224,4,0,19347
26-06-2020,Tamil Nadu,Tiruchirappalli,493,234,4,0,19347
27-06-2020,Tamil Nadu,Tiruchirappalli,503,199,4,0,19347
28-06-2020,Tamil Nadu,Tiruchirappalli,546,199,4,0,19347
29-06-2020,Tamil Nadu,Tiruchirappalli,636,269,4,0,19347
30-06-2020,Tamil Nadu,Tiruchirappalli,682,339,4,0,26832
01-07-2020,Tamil Nadu,Tiruchirappalli,701,369,4,0,26832
02-07-2020,Tamil Nadu,Tiruchirappalli,755,452,4,0,26832
03-07-2020,Tamil Nadu,Tiruchirappalli,803,456,4,0,26832
04-07-2020,Tamil Nadu,Tiruchirappalli,886,463,4,0,26832
05-07-2020,Tamil Nadu,Tiruchirappalli,972,483,4,0,26832
06-07-2020,Tamil Nadu,Tiruchirappalli,1004,537,5,0,26832
07-07-2020,Tamil Nadu,Tiruchirappalli,1059,619,5,0,26832
08-07-2020,Tamil Nadu,Tiruchirappalli,1077,639,6,0,26832
09-07-2020,Tamil Nadu,Tiruchirappalli,1170,663,12,0,26832
10-07-2020,Tamil Nadu,Tiruchirappalli,1273,744,12,0,26832
11-07-2020,Tamil Nadu,Tiruchirappalli,1401,797,15,0,26832
12-07-2020,Tamil Nadu,Tiruchirappalli,1504,797,16,0,26832
13-07-2020,Tamil Nadu,Tiruchirappalli,1598,879,21,0,26832
14-07-2020,Tamil Nadu,Tiruchirappalli,1715,964,27,0,26832
15-07-2020,Tamil Nadu,Tiruchirappalli,1814,1020,27,0,26832
16-07-2020,Tamil Nadu,Tiruchirappalli,1902,1067,30,0,26832
17-07-2020,Tamil Nadu,Tiruchirappalli,2004,1067,33,0,26832
18-07-2020,Tamil Nadu,Tiruchirappalli,2126,1158,34,0,26832
19-07-2020,Tamil Nadu,Tiruchirappalli,2265,1253,35,0,26832
20-07-2020,Tamil Nadu,Tiruchirappalli,2343,1258,39,0,26832
21-07-2020,Tamil Nadu,Tiruchirappalli,2470,1330,44,0,26832
22-07-2020,Tamil Nadu,Tiruchirappalli,2686,1331,44,0,26832
23-07-2020,Tamil Nadu,Tiruchirappalli,2872,1477,50,0,26832
24-07-2020,Tamil Nadu,Tiruchirappalli,3089,1763,51,0,26832
25-07-2020,Tamil Nadu,Tiruchirappalli,3289,2096,57,0,26832
26-07-2020,Tamil Nadu,Tiruchirappalli,3420,2161,58,0,26832
27-07-2020,Tamil Nadu,Tiruchirappalli,3604,2234,59,0,26832
28-07-2020,Tamil Nadu,Tiruchirappalli,3755,2297,60,0,26832
29-07-2020,Tamil Nadu,Tiruchirappalli,3889,2420,60,0,26832
30-07-2020,Tamil Nadu,Tiruchirappalli,4011,2431,60,0,26832
31-07-2020,Tamil Nadu,Tiruchirappalli,4146,2535,60,0,67844
01-08-2020,Tamil Nadu,Tiruchirappalli,4282,2651,60,0,67844
02-08-2020,Tamil Nadu,Tiruchirappalli,4416,2782,60,0,67844
03-08-2020,Tamil Nadu,Tiruchirappalli,4517,2944,60,0,72589
04-08-2020,Tamil Nadu,Tiruchirappalli,4603,3106,62,0,72589
05-08-2020,Tamil Nadu,Tiruchirappalli,4733,3246,64,0,72589
06-08-2020,Tamil Nadu,Tiruchirappalli,4834,3494,67,0,72589
07-08-2020,Tamil Nadu,Tiruchirappalli,4939,3598,67,0,92586
08-08-2020,Tamil Nadu,Tiruchirappalli,5032,3660,69,0,92586
09-08-2020,Tamil Nadu,Tiruchirappalli,5129,3792,71,0,92586
10-08-2020,Tamil Nadu,Tiruchirappalli,5170,4081,73,0,92586
11-08-2020,Tamil Nadu,Tiruchirappalli,5250,4284,77,0,92586
12-08-2020,Tamil Nadu,Tiruchirappalli,5386,4451,79,0,92586
13-08-2020,Tamil Nadu,Tiruchirappalli,5550,4534,81,0,92586
14-08-2020,Tamil Nadu,Tiruchirappalli,5654,4666,80,0,92586
15-08-2020,Tamil Nadu,Tiruchirappalli,5762,4765,85,0,92586
16-08-2020,Tamil Nadu,Tiruchirappalli,5867,4878,86,0,92586
17-08-2020,Tamil Nadu,Tiruchirappalli,5990,4959,93,0,92586
18-08-2020,Tamil Nadu,Tiruchirappalli,6113,5053,94,0,92586
19-08-2020,Tamil Nadu,Tiruchirappalli,6212,5107,94,0,92586
20-08-2020,Tamil Nadu,Tiruchirappalli,6335,5196,96,0,92586
21-08-2020,Tamil Nadu,Tiruchirappalli,6439,5327,98,0,92586
22-08-2020,Tamil Nadu,Tiruchirappalli,6560,5488,102,0,92586
23-08-2020,Tamil Nadu,Tiruchirappalli,6660,5593,105,0,92586
24-08-2020,Tamil Nadu,Tiruchirappalli,6764,5712,105,0,92586
25-08-2020,Tamil Nadu,Tiruchirappalli,6873,5817,111,0,92586
26-08-2020,Tamil Nadu,Tiruchirappalli,6957,5936,111,0,92586
27-08-2020,Tamil Nadu,Tiruchirappalli,7072,6033,113,0,92586
28-08-2020,Tamil Nadu,Tiruchirappalli,7158,6129,113,0,92586
29-08-2020,Tamil Nadu,Tiruchirappalli,7261,6236,115,0,92586
30-08-2020,Tamil Nadu,Tiruchirappalli,7380,6346,119,0,92586
31-08-2020,Tamil Nadu,Tiruchirappalli,7478,6468,120,0,92586
01-09-2020,Tamil Nadu,Tiruchirappalli,7575,6560,120,0,92586
02-09-2020,Tamil Nadu,Tiruchirappalli,7684,6664,122,0,92586
03-09-2020,Tamil Nadu,Tiruchirappalli,7799,6768,122,0,92586
04-09-2020,Tamil Nadu,Tiruchirappalli,7903,6866,122,0,92586
05-09-2020,Tamil Nadu,Tiruchirappalli,8011,6974,123,0,92586
06-09-2020,Tamil Nadu,Tiruchirappalli,8123,7074,123,0,92586
07-09-2020,Tamil Nadu,Tiruchirappalli,8235,7204,124,0,92586
08-09-2020,Tamil Nadu,Tiruchirappalli,8336,7301,125,0,92586
09-09-2020,Tamil Nadu,Tiruchirappalli,8434,7391,130,0,92586
10-09-2020,Tamil Nadu,Tiruchirappalli,8540,7486,130,0,92586
11-09-2020,Tamil Nadu,Tiruchirappalli,8680,7607,131,0,92586
12-09-2020,Tamil Nadu,Tiruchirappalli,8753,7722,132,0,92586
13-09-2020,Tamil Nadu,Tiruchirappalli,8846,7822,133,0,92586
14-09-2020,Tamil Nadu,Tiruchirappalli,8914,7929,131,0,92586
15-09-2020,Tamil Nadu,Tiruchirappalli,9017,8014,132,0,92586
16-09-2020,Tamil Nadu,Tiruchirappalli,9114,8113,134,0,92586
17-09-2020,Tamil Nadu,Tiruchirappalli,9227,8213,134,0,92586
18-09-2020,Tamil Nadu,Tiruchirappalli,9363,8431,137,0,92586
19-09-2020,Tamil Nadu,Tiruchirappalli,9469,8569,139,0,92586
20-09-2020,Tamil Nadu,Tiruchirappalli,9552,8645,139,0,92586
21-09-2020,Tamil Nadu,Tiruchirappalli,9633,8725,141,0,92586
22-09-2020,Tamil Nadu,Tiruchirappalli,9746,8796,142,0,92586
23-09-2020,Tamil Nadu,Tiruchirappalli,9858,8899,142,0,92586
24-09-2020,Tamil Nadu,Tiruchirappalli,9986,8996,142,0,92586
25-09-2020,Tamil Nadu,Tiruchirappalli,10083,9114,142,0,92586
26-09-2020,Tamil Nadu,Tiruchirappalli,10168,9240,143,0,92586
27-09-2020,Tamil Nadu,Tiruchirappalli,10254,9331,145,0,92586
28-09-2020,Tamil Nadu,Tiruchirappalli,10345,9432,145,0,92586
29-09-2020,Tamil Nadu,Tiruchirappalli,10429,9505,145,0,92586
30-09-2020,Tamil Nadu,Tiruchirappalli,10527,9607,145,0,92586
01-10-2020,Tamil Nadu,Tiruchirappalli,10612,9716,148,0,92586
02-10-2020,Tamil Nadu,Tiruchirappalli,10708,9816,151,0,92586
03-10-2020,Tamil Nadu,Tiruchirappalli,10781,9896,152,0,92586
04-10-2020,Tamil Nadu,Tiruchirappalli,10842,9937,155,0,92586
05-10-2020,Tamil Nadu,Tiruchirappalli,10919,10040,155,0,92586
06-10-2020,Tamil Nadu,Tiruchirappalli,11003,10120,156,0,92586
07-10-2020,Tamil Nadu,Tiruchirappalli,11083,10212,156,0,92586
08-10-2020,Tamil Nadu,Tiruchirappalli,11149,10297,156,0,92586
09-10-2020,Tamil Nadu,Tiruchirappalli,11225,10387,156,0,92586
10-10-2020,Tamil Nadu,Tiruchirappalli,11308,10457,157,0,92586
11-10-2020,Tamil Nadu,Tiruchirappalli,11396,10538,157,0,92586
12-10-2020,Tamil Nadu,Tiruchirappalli,11435,10629,157,0,92586
13-10-2020,Tamil Nadu,Tiruchirappalli,11497,10706,157,0,92586
14-10-2020,Tamil Nadu,Tiruchirappalli,11568,10782,158,0,92586
15-10-2020,Tamil Nadu,Tiruchirappalli,11642,10840,159,0,92586
16-10-2020,Tamil Nadu,Tiruchirappalli,11723,10912,162,0,92586
17-10-2020,Tamil Nadu,Tiruchirappalli,11788,10986,162,0,92586
18-10-2020,Tamil Nadu,Tiruchirappalli,11850,11059,162,0,92586
19-10-2020,Tamil Nadu,Tiruchirappalli,11912,11150,162,0,92586
20-10-2020,Tamil Nadu,Tiruchirappalli,11980,11201,163,0,92586
21-10-2020,Tamil Nadu,Tiruchirappalli,12045,11278,164,0,92586
22-10-2020,Tamil Nadu,Tiruchirappalli,12097,11343,167,0,92586
23-10-2020,Tamil Nadu,Tiruchirappalli,12153,11409,167,0,92586
24-10-2020,Tamil Nadu,Tiruchirappalli,12201,11487,166,0,92586
25-10-2020,Tamil Nadu,Tiruchirappalli,12251,11552,166,0,92586
26-10-2020,Tamil Nadu,Tiruchirappalli,12297,11631,167,0,92586
27-10-2020,Tamil Nadu,Tiruchirappalli,12333,11692,167,0,92586
28-10-2020,Tamil Nadu,Tiruchirappalli,12379,11702,167,0,92586
29-10-2020,Tamil Nadu,Tiruchirappalli,12426,11769,167,0,92586
30-10-2020,Tamil Nadu,Tiruchirappalli,12467,11827,167,0,92586
31-10-2020,Tamil Nadu,Tiruchirappalli,12505,11891,168,0,92586
01-11-2020,Tamil Nadu,Tiruchirappalli,12543,11948,169,0,92586
02-11-2020,Tamil Nadu,Tiruchirappalli,12570,12023,169,0,92586
03-11-2020,Tamil Nadu,Tiruchirappalli,12617,12093,169,0,92586
04-11-2020,Tamil Nadu,Tiruchirappalli,12663,12147,169,0,92586
05-11-2020,Tamil Nadu,Tiruchirappalli,12693,12192,169,0,92586
06-11-2020,Tamil Nadu,Tiruchirappalli,12740,12233,169,0,92586
07-11-2020,Tamil Nadu,Tiruchirappalli,12777,12274,170,0,92586
08-11-2020,Tamil Nadu,Tiruchirappalli,12817,12323,170,0,92586
09-11-2020,Tamil Nadu,Tiruchirappalli,12857,12355,170,0,92586
10-11-2020,Tamil Nadu,Tiruchirappalli,12884,12393,170,0,92586
11-11-2020,Tamil Nadu,Tiruchirappalli,12919,12440,171,0,92586
12-11-2020,Tamil Nadu,Tiruchirappalli,12956,12471,171,0,92586
13-11-2020,Tamil Nadu,Tiruchirappalli,12983,12507,171,0,92586
14-11-2020,Tamil Nadu,Tiruchirappalli,13016,12561,171,0,92586
15-11-2020,Tamil Nadu,Tiruchirappalli,13047,12580,171,0,92586
16-11-2020,Tamil Nadu,Tiruchirappalli,13074,12628,171,0,92586
17-11-2020,Tamil Nadu,Tiruchirappalli,13094,12684,171,0,92586
18-11-2020,Tamil Nadu,Tiruchirappalli,13120,12722,171,0,92586
19-11-2020,Tamil Nadu,Tiruchirappalli,13148,12773,171,0,92586
20-11-2020,Tamil Nadu,Tiruchirappalli,13167,12827,171,0,92586
21-11-2020,Tamil Nadu,Tiruchirappalli,13194,12874,171,0,92586
22-11-2020,Tamil Nadu,Tiruchirappalli,13213,12910,172,0,92586
23-11-2020,Tamil Nadu,Tiruchirappalli,13240,12940,172,0,92586
24-11-2020,Tamil Nadu,Tiruchirappalli,13269,12965,173,0,92586
25-11-2020,Tamil Nadu,Tiruchirappalli,13301,12993,173,0,92586
26-11-2020,Tamil Nadu,Tiruchirappalli,13324,13016,172,0,92586
27-11-2020,Tamil Nadu,Tiruchirappalli,13353,13032,172,0,92586
28-11-2020,Tamil Nadu,Tiruchirappalli,13374,13053,172,0,92586
29-11-2020,Tamil Nadu,Tiruchirappalli,13395,13070,172,0,92586
30-11-2020,Tamil Nadu,Tiruchirappalli,13421,13089,172,0,92586
